gbstring@exacuk,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Serial Number,,,,,,,,,,,,,,,,,,,,
1,22/04/2017 23:00,21,60,12.9,10083446,,,,,,,,,,,,,,,,,,,,
2,23/04/2017 00:00,21,61,13.2,,,,,,,,,,,,,,,,,,,,,
3,23/04/2017 01:00,20.5,61.5,12.8,,,,,,,,,,,,,,,,,,,,,
4,23/04/2017 02:00,20.5,61,12.7,,,,,,,,,,,,,,,,,,,,,
5,23/04/2017 03:00,20.5,61,12.7,,,,,,,,,,,,,,,,,,,,,
6,23/04/2017 04:00,20,61,12.3,,,,,,,,,,,,,,,,,,,,,
7,23/04/2017 05:00,20,61,12.3,,,,,,,,,,,,,,,,,,,,,
8,23/04/2017 06:00,20,61.5,12.4,,,,,,,,,,,,,,,,,,,,,
9,23/04/2017 07:00,20,62,12.5,,,,,,,,,,,,,,,,,,,,,
10,23/04/2017 08:00,21,63,13.7,,,,,,,,,,,,,,,,,,,,,
11,23/04/2017 09:00,21,61,13.2,,,,,,,,,,,,,,,,,,,,,
12,23/04/2017 10:00,20.5,56.5,11.6,,,,,,,,,,,,,,,,,,,,,
13,23/04/2017 11:00,19,49.5,8.2,,,,,,,,,,,,,,,,,,,,,
14,23/04/2017 12:00,19,51,8.6,,,,,,,,,,,,,,,,,,,,,
15,23/04/2017 13:00,19.5,50,8.8,,,,,,,,,,,,,,,,,,,,,
16,23/04/2017 14:00,19.5,50.5,9,,,,,,,,,,,,,,,,,,,,,
17,23/04/2017 15:00,19.5,52,9.4,,,,,,,,,,,,,,,,,,,,,
18,23/04/2017 16:00,19,54.5,9.6,,,,,,,,,,,,,,,,,,,,,
19,23/04/2017 17:00,19.5,56,10.5,,,,,,,,,,,,,,,,,,,,,
20,23/04/2017 18:00,20,56,11,,,,,,,,,,,,,,,,,,,,,
21,23/04/2017 19:00,20,57,11.2,,,,,,,,,,,,,,,,,,,,,
22,23/04/2017 20:00,20,57.5,11.4,,,,,,,,,,,,,,,,,,,,,
23,23/04/2017 21:00,20,58,11.5,,,,,,,,,,,,,,,,,,,,,
24,23/04/2017 22:00,20,58.5,11.6,,,,,,,,,,,,,,,,,,,,,
25,23/04/2017 23:00,20,58.5,11.6,,,,,,,,,,,,,,,,,,,,,
26,24/04/2017 00:00,20,59,11.7,,,,,,,,,,,,,,,,,,,,,
27,24/04/2017 01:00,20,59,11.7,,,,,,,,,,,,,,,,,,,,,
28,24/04/2017 02:00,20,59,11.7,,,,,,,,,,,,,,,,,,,,,
29,24/04/2017 03:00,19.5,58.5,11.2,,,,,,,,,,,,,,,,,,,,,
30,24/04/2017 04:00,19.5,58.5,11.2,,,,,,,,,,,,,,,,,,,,,
31,24/04/2017 05:00,19.5,58,11,,,,,,,,,,,,,,,,,,,,,
32,24/04/2017 06:00,19.5,58.5,11.2,,,,,,,,,,,,,,,,,,,,,
33,24/04/2017 07:00,19.5,60,11.5,,,,,,,,,,,,,,,,,,,,,
34,24/04/2017 08:00,16.5,48,5.5,,,,,,,,,,,,,,,,,,,,,
35,24/04/2017 09:00,20,53,10.1,,,,,,,,,,,,,,,,,,,,,
36,24/04/2017 10:00,22.5,46.5,10.5,,,,,,,,,,,,,,,,,,,,,
37,24/04/2017 11:00,21.5,49.5,10.5,,,,,,,,,,,,,,,,,,,,,
38,24/04/2017 12:00,21.5,50,10.6,,,,,,,,,,,,,,,,,,,,,
39,24/04/2017 13:00,21.5,50.5,10.8,,,,,,,,,,,,,,,,,,,,,
40,24/04/2017 14:00,21.5,51,10.9,,,,,,,,,,,,,,,,,,,,,
41,24/04/2017 15:00,22,51.5,11.6,,,,,,,,,,,,,,,,,,,,,
42,24/04/2017 16:00,22,51.5,11.6,,,,,,,,,,,,,,,,,,,,,
43,24/04/2017 17:00,22.5,51,11.9,,,,,,,,,,,,,,,,,,,,,
44,24/04/2017 18:00,22.5,50,11.6,,,,,,,,,,,,,,,,,,,,,
45,24/04/2017 19:00,21.5,40.5,7.5,,,,,,,,,,,,,,,,,,,,,
46,24/04/2017 20:00,22,53.5,12.1,,,,,,,,,,,,,,,,,,,,,
47,24/04/2017 21:00,22,55,12.5,,,,,,,,,,,,,,,,,,,,,
48,24/04/2017 22:00,21.5,56,12.4,,,,,,,,,,,,,,,,,,,,,
49,24/04/2017 23:00,21,56.5,12,,,,,,,,,,,,,,,,,,,,,
50,25/04/2017 00:00,21,57,12.2,,,,,,,,,,,,,,,,,,,,,
51,25/04/2017 01:00,20.5,57,11.7,,,,,,,,,,,,,,,,,,,,,
52,25/04/2017 02:00,20,56.5,11.1,,,,,,,,,,,,,,,,,,,,,
53,25/04/2017 03:00,20,56,11,,,,,,,,,,,,,,,,,,,,,
54,25/04/2017 04:00,19.5,55.5,10.4,,,,,,,,,,,,,,,,,,,,,
55,25/04/2017 05:00,19.5,55,10.2,,,,,,,,,,,,,,,,,,,,,
56,25/04/2017 06:00,19.5,55.5,10.4,,,,,,,,,,,,,,,,,,,,,
57,25/04/2017 07:00,19,57,10.3,,,,,,,,,,,,,,,,,,,,,
58,25/04/2017 08:00,16.5,47.5,5.3,,,,,,,,,,,,,,,,,,,,,
59,25/04/2017 09:00,19.5,50,8.8,,,,,,,,,,,,,,,,,,,,,
60,25/04/2017 10:00,23,42,9.4,,,,,,,,,,,,,,,,,,,,,
